,name_neighbourhood,high,low,medium,tot_score,population,domicile,average population per domicile,surface_area (ha),population/sa,overall_score,zscore
0,Baró de Viver,12,82,70,258,2535.0,977.0,2.59,23.0,110.21739130434783,284.36,-1.195584715290817
1,Can Baró,20,116,90,356,9071.0,3832.0,2.37,38.4,236.22395833333334,840.96,-0.6194821612608076
2,Can Peguera,8,90,66,246,2229.0,925.0,2.41,12.0,185.75,456.94,-1.0169577322248826
3,Canyelles,16,106,116,386,6885.0,2808.0,2.45,79.3,86.82219419924338,335.13,-1.1430357992503866
4,Ciutat Meridiana,26,136,114,442,10622.0,3669.0,2.9,35.5,299.2112676056338,1322.51,-0.12105926350092423
5,Desconegut,24,144,134,484,,,,,,,
6,Diagonal Mar i el Front Marítim del Poblenou,20,168,184,596,13681.0,5456.0,2.51,123.7,110.59822150363783,659.17,-0.8076418509789453
7,Horta,30,198,178,644,26867.0,10610.0,2.53,308.2,87.17391304347827,561.4,-0.9088375870686219
8,Hostafrancs,28,168,166,584,15969.0,6666.0,2.4,41.0,389.4878048780488,2274.61,0.8644011060498701
9,Montbau,20,130,122,434,5157.0,2139.0,2.41,204.7,25.19296531509526,109.34,-1.3767371928444145
10,Navas,24,148,158,536,22159.0,9047.0,2.45,42.3,523.8534278959811,2807.85,1.4163251554766796
11,Pedralbes,30,188,150,578,12046.0,4234.0,2.85,270.2,44.581791265729095,257.68,-1.2231995484591978
12,Porta,26,150,166,560,25568.0,10215.0,2.5,84.1,304.0190249702735,1702.51,0.2722554517908537
13,Provençals del Poblenou,28,158,166,574,20766.0,8206.0,2.53,110.5,187.92760180995475,1078.7,-0.37341205490957785
14,Sant Andreu,30,202,186,664,57662.0,23734.0,2.43,184.1,313.21021184139056,2079.72,0.6626824090414103
15,Sant Antoni,32,186,206,694,38291.0,16394.0,2.34,80.1,478.039950062422,3317.6,1.9439361452661106
16,Sant Genís dels Agudells,14,130,138,448,7149.0,2930.0,2.44,171.6,41.66083916083916,186.64,-1.2967286994442713
17,Sant Gervasi - Galvany,32,172,200,668,47753.0,18757.0,2.55,165.9,287.84207353827605,1922.79,0.5002537820131506
18,Sant Gervasi - la Bonanova,26,188,170,606,25889.0,9381.0,2.76,223.5,115.834451901566,701.96,-0.7633525439596421
19,Sant Martí de Provençals,28,142,156,538,26092.0,10627.0,2.46,74.5,350.2281879194631,1884.23,0.4603426887982798
20,"Sant Pere, Santa Caterina i la Ribera",34,202,214,732,22605.0,10238.0,2.21,111.4,202.9174147217235,1485.36,0.04749679277609156
21,Sants,32,174,204,678,41370.0,17125.0,2.42,109.8,376.77595628415304,2554.54,1.1541394961857314
22,Sants - Badal,30,122,162,536,24018.0,9945.0,2.42,41.1,584.3795620437955,3132.27,1.7521124184634127
23,Sarrià,28,190,174,622,25116.0,8928.0,2.81,304.2,82.56410256410257,513.55,-0.9583641900336525
24,Torre Baró,22,104,106,382,2893.0,964.0,3.0,176.8,16.3631221719457,62.51,-1.4252080563105038
25,Vallbona,18,78,74,280,1400.0,489.0,2.86,59.8,23.411371237458194,65.55,-1.4220615385881696
26,Vallcarca i els Penitents,30,186,144,564,15789.0,6521.0,2.42,120.9,130.5955334987593,736.56,-0.7275402040936014
27,"Vallvidrera, el Tibidabo i les Planes",20,126,116,418,4710.0,1605.0,2.93,1152.2,4.087831973615692,17.09,-1.4722195151751158
28,Verdun,16,110,134,426,12445.0,5107.0,2.44,23.7,525.1054852320675,2236.95,0.8254215476870057
29,Vilapicina i la Torre Llobeta,28,154,158,554,25675.0,10525.0,2.44,56.7,452.82186948853615,2508.63,1.1066208683461383
30,el Baix Guinardó,26,150,146,520,25793.0,10849.0,2.38,56.0,460.5892857142857,2395.06,0.989071520410119
31,el Barri Gòtic,32,208,224,752,17035.0,6565.0,2.59,84.2,202.31591448931115,1521.42,0.08482028917983257
32,el Besòs i el Maresme,30,166,170,596,23546.0,8304.0,2.84,127.4,184.81946624803766,1101.52,-0.34979247121758217
33,el Bon Pastor,26,190,154,576,12740.0,4487.0,2.84,188.2,67.69394261424017,389.92,-1.086326027537659
