,name_neighbourhood,high,low,medium,tot_score,Nom_Districte,population,surface_area (ha),overall_score
0,Sant Andreu,236.0,496.0,326.0,27356.0,Sant Andreu,57662.0,184.1,47.0
1,la Nova Esquerra de l'Eixample,260.0,464.0,312.0,29584.0,Eixample,58238.0,133.8,51.0
2,les Corts,242.0,446.0,276.0,27406.0,Les Corts,46152.0,141.3,59.0
3,la Vila de Gràcia,258.0,502.0,342.0,29722.0,Gràcia,50421.0,132.6,59.0
4,Sant Gervasi - Galvany,248.0,474.0,278.0,28054.0,Sarrià-Sant Gervasi,47753.0,165.9,59.0
5,la Sagrada Família,282.0,484.0,296.0,31644.0,Eixample,51654.0,105.1,61.0
6,el Camp de l'Arpa del Clot,208.0,428.0,254.0,23768.0,Sant Martí,38440.0,74.2,62.0
7,el Guinardó,214.0,402.0,262.0,24422.0,Horta-Guinardó,36890.0,130.8,66.0
8,l'Antiga Esquerra de l'Eixample,254.0,470.0,284.0,28710.0,Eixample,42611.0,123.4,67.0
9,el Carmel,190.0,412.0,246.0,21872.0,Horta-Guinardó,31832.0,94.2,69.0
10,el Camp d'en Grassot i Gràcia Nova,210.0,414.0,256.0,23974.0,Gràcia,34663.0,65.0,69.0
11,Sants,254.0,438.0,308.0,28918.0,Sants-Montjuïc,41370.0,109.8,70.0
12,la Dreta de l'Eixample,272.0,588.0,334.0,31128.0,Eixample,43880.0,212.3,71.0
13,el Raval,304.0,592.0,374.0,34732.0,Ciutat Vella,47605.0,109.8,73.0
14,la Verneda i la Pau,184.0,368.0,226.0,21028.0,Sant Martí,28814.0,112.3,73.0
15,Sant Antoni,250.0,476.0,304.0,28516.0,Eixample,38291.0,80.1,74.0
16,la Marina de Port,198.0,416.0,262.0,22836.0,Sants-Montjuïc,30751.0,125.5,74.0
17,el Putxet i el Farró,190.0,398.0,246.0,21858.0,Sarrià-Sant Gervasi,29691.0,84.6,74.0
18,el Baix Guinardó,172.0,362.0,226.0,19822.0,Horta-Guinardó,25793.0,56.0,77.0
19,el Poblenou,238.0,478.0,328.0,27558.0,Sant Martí,33985.0,154.5,81.0
20,la Sagrera,216.0,424.0,250.0,24524.0,Sant Andreu,29197.0,97.2,84.0
21,la Prosperitat,198.0,394.0,238.0,22574.0,Nou Barris,26552.0,59.5,85.0
22,Sant Martí de Provençals,202.0,354.0,246.0,23014.0,Sant Martí,26092.0,74.5,88.0
23,Sants - Badal,188.0,358.0,206.0,21218.0,Sants-Montjuïc,24018.0,41.1,88.0
24,Porta,202.0,386.0,220.0,22786.0,Nou Barris,25568.0,84.1,89.0
25,Vilapicina i la Torre Llobeta,204.0,416.0,238.0,23196.0,Nou Barris,25675.0,56.7,90.0
26,Sant Gervasi - la Bonanova,202.0,448.0,258.0,23228.0,Sarrià-Sant Gervasi,25889.0,223.5,90.0
27,Horta,212.0,458.0,292.0,24578.0,Horta-Guinardó,26867.0,308.2,91.0
28,el Fort Pienc,264.0,498.0,306.0,29958.0,Eixample,32080.0,92.9,93.0
29,el Clot,220.0,420.0,276.0,25180.0,Sant Martí,27050.0,69.6,93.0
30,Sarrià,208.0,458.0,274.0,23998.0,Sarrià-Sant Gervasi,25116.0,304.2,96.0
31,Navas,186.0,344.0,246.0,21404.0,Sant Andreu,22159.0,42.3,97.0
